YEAR,DESCRIPTION,WEIGHT,UNITS,1,2,3,4,5,6,7,8,9,10,11,12
2015,NATURAL,1,12,17,12,35,26,25,48,30,16,24,35,29,52
2015,NATURAL,200,24,0,0,0,0,0,0,0,0,0,1,18,22
2015,SWEET,750,12,2,16,5,4,6,4,1,1,5,3,6,37
2015,SALTED,750,12,0,8,1,0,13,6,2,11,12,3,4,15
2015,NATURAL,700,12,13,20,16,10,18,42,27,15,43,38,22,43
2015,NATURAL,1,12,10,8,9,10,9,6,15,9,28,27,35,56
2015,NATURAL,200,24,0,6,0,2,25,3,2,1,25,23,0,2
2015,SWEET,750,12,14,2,6,1,8,9,8,0,12,2,3,13
2015,SALTED,750,12,4,3,2,5,6,5,5,15,17,14,8,2
2015,NATURAL,700,12,8,14,9,13,12,21,10,18,15,9,6,7
2015,NATURAL,1,12,9,5,8,8,7,4,4,13,12,14,16,18
2015,NATURAL,200,24,0,0,6,18,13,20,12,7,4,10,3,1
2015,SWEET,750,12,4,2,0,0,0,5,1,4,4,3,1,7
2015,SALTED,750,12,0,0,0,0,3,5,1,12,19,4,2,8
2015,NATURAL,700,12,13,11,10,12,8,10,15,17,14,21,12,71
2015,NATURAL,1,12,23,42,37,24,21,19,19,20,48,26,41,36
2015,NATURAL,200,24,1,25,0,0,0,0,14,0,1,4,2,2
2015,SWEET,750,12,5,1,2,0,3,7,5,1,3,8,5,10
2015,SALTED,750,12,4,0,4,3,1,4,0,4,1,3,3,5
2015,NATURAL,700,12,5,4,9,9,15,10,5,3,5,1,8,4
2015,NATURAL,1,12,16,9,17,7,6,9,7,5,10,16,10,22
2015,NATURAL,200,24,3,0,2,10,4,4,1,0,2,0,2,0
2015,SWEET,750,12,2,2,1,3,4,5,2,5,4,1,3,11
2015,SALTED,750,12,1,1,0,3,4,3,1,10,10,11,1,26
2015,NATURAL,700,12,24,27,30,15,33,32,25,14,13,21,33,30
2015,NATURAL,1,12,16,11,28,20,23,38,24,24,33,19,25,43
2015,NATURAL,200,24,5,8,3,16,10,15,7,6,6,5,4,9
2015,SWEET,750,12,0,1,1,0,3,8,2,4,5,8,6,20
2015,SALTED,750,12,3,0,3,2,5,3,11,18,17,13,14,18
2015,NATURAL,700,12,20,9,12,15,19,8,8,23,25,13,39,50
2015,NATURAL,1,12,22,16,21,25,17,27,27,9,23,23,19,25
2015,NATURAL,200,24,18,0,0,1,3,3,0,0,1,2,10,0
2015,SWEET,750,12,14,1,13,2,6,16,7,13,24,8,7,14
2015,SALTED,750,12,1,3,4,2,5,9,1,1,5,3,20,11
2015,NATURAL,700,12,30,17,28,33,42,22,34,30,34,27,17,50
2015,NATURAL,1,12,35,20,24,30,18,18,22,19,13,47,23,39
2015,NATURAL,200,24,0,0,11,4,9,6,5,3,2,2,0,1
2015,SWEET,750,12,2,0,4,2,10,10,3,3,4,6,10,15
2015,SALTED,750,12,1,0,1,2,0,2,3,25,22,18,12,13
2015,NATURAL,700,12,45,47,42,78,71,77,66,60,61,39,38,59
2015,NATURAL,1,12,65,43,37,57,62,51,51,47,47,43,52,78
2015,NATURAL,200,24,27,19,11,17,30,30,16,29,15,27,14,21
2015,SWEET,750,12,6,4,2,6,4,11,2,2,14,5,3,10
2015,SALTED,750,12,6,1,2,1,6,13,5,18,22,5,6,11
2017,NATURAL,700,12,1,0,0,0,0,0,0,0,0,0,0,0
2017,NATURAL,1,12,4,4,0,0,0,0,0,0,0,0,0,0
2017,NATURAL,200,24,0,1,0,0,0,0,0,0,0,0,0,0
2017,SALTED,750,12,0,1,0,0,0,0,0,0,0,0,0,0
2015,NATURAL,700,12,5,6,12,13,35,24,37,7,20,11,9,49
2015,NATURAL,1,12,20,36,32,62,19,36,53,50,64,54,22,37
2015,NATURAL,200,24,2,0,1,8,2,1,0,5,0,4,0,0
2015,SWEET,750,12,1,0,1,0,3,5,1,3,4,2,2,8
2015,SALTED,750,12,2,0,0,1,2,7,3,9,10,7,0,2
2015,NATURAL,700,12,51,37,38,65,79,68,42,50,45,42,27,33
2015,NATURAL,1,12,20,21,31,27,48,35,30,12,29,34,25,27
2015,NATURAL,200,24,1,10,19,17,1,0,4,1,11,0,0,0
2015,SWEET,750,12,20,7,3,5,3,9,7,6,7,7,1,17
2015,SALTED,750,12,2,3,1,3,1,6,5,19,29,20,12,9
2015,NATURAL,700,12,15,30,31,26,46,27,34,27,30,26,7,23
2015,NATURAL,1,12,18,25,11,22,13,23,7,8,12,29,17,18
2015,NATURAL,200,24,4,0,1,1,5,3,1,0,0,1,0,0
2015,SWEET,750,12,0,0,1,7,1,3,2,1,2,4,0,11
2015,SALTED,750,12,0,1,0,0,0,2,0,2,5,3,1,6
2015,NATURAL,700,12,15,18,14,28,48,52,33,80,39,22,17,30
2015,NATURAL,1,12,21,24,17,16,17,27,21,29,25,24,29,26
2015,NATURAL,200,24,0,0,7,22,24,10,3,0,4,5,0,2
2015,SWEET,750,12,11,17,11,12,12,23,3,18,24,10,11,17
2015,SALTED,750,12,3,7,4,4,6,3,7,70,23,19,4,22
2015,NATURAL,700,12,15,9,9,0,11,13,9,17,6,16,9,8
2015,NATURAL,1,12,25,35,53,66,34,56,49,44,28,25,22,13
2015,NATURAL,200,24,5,3,0,3,16,19,16,12,13,23,6,7
2015,SWEET,750,12,2,2,3,1,0,3,0,2,1,3,1,21
2015,SALTED,750,12,1,0,1,0,0,0,0,15,21,7,4,7
2015,NATURAL,700,12,4,0,3,0,9,10,5,4,7,4,2,4
2015,NATURAL,1,12,5,8,5,10,8,2,6,10,7,5,2,9
2015,NATURAL,200,24,0,0,0,5,4,3,5,1,6,2,3,0
2015,NATURAL,700,12,9,9,4,3,22,14,14,13,9,13,5,7
2015,NATURAL,1,12,8,9,5,10,11,16,15,11,6,32,14,7
2015,NATURAL,200,24,0,3,1,1,0,0,0,1,0,0,0,0
2015,SWEET,750,12,1,0,0,1,4,2,1,2,3,1,1,4
2015,SALTED,750,12,3,0,0,0,0,5,7,21,6,13,9,5
2015,SWEET,750,12,0,1,0,0,0,0,0,0,0,0,1,0
2015,NATURAL,700,12,6,8,5,10,10,13,4,11,12,6,10,5
2015,NATURAL,1,12,17,19,16,23,24,19,29,27,27,26,21,24
2015,SWEET,750,12,0,1,0,0,1,0,1,0,0,1,1,0
2015,NATURAL,700,12,3,5,1,5,2,7,4,4,1,0,0,2
2015,NATURAL,1,12,5,0,2,2,9,5,3,6,3,5,4,4
2015,SWEET,750,12,0,0,0,0,0,1,0,0,0,0,0,0
2015,SALTED,750,12,0,0,0,0,0,0,0,0,0,0,0,1
2015,NATURAL,700,12,30,8,11,31,29,41,11,15,22,39,35,36
2015,NATURAL,1,12,13,5,19,36,19,36,19,12,14,28,50,17
2015,NATURAL,200,24,19,17,34,22,11,9,6,7,5,5,1,1
2015,SWEET,750,12,16,1,26,4,4,16,3,3,3,5,12,9
2015,SALTED,750,12,1,3,3,4,1,5,10,3,9,1,3,9
2015,NATURAL,700,12,43,39,46,41,56,58,43,29,44,48,30,55
2015,NATURAL,1,12,65,52,68,55,52,50,36,56,60,50,33,46
2015,NATURAL,200,24,5,13,14,7,11,37,13,17,30,22,16,19
2015,SWEET,750,12,5,7,3,6,8,8,4,2,13,1,0,8
2015,SALTED,750,12,0,0,1,0,3,9,3,13,12,7,5,7
2015,NATURAL,700,12,16,15,21,26,43,35,37,28,23,23,23,39
2015,NATURAL,1,12,37,21,30,39,50,44,67,37,41,42,28,29
2015,NATURAL,200,24,0,3,9,1,2,2,3,3,2,5,3,1
2015,SWEET,750,12,6,3,10,7,9,7,0,10,15,7,9,14
2015,SALTED,750,12,1,1,0,0,3,10,4,31,18,11,1,5
2015,NATURAL,700,12,23,8,8,21,32,13,16,27,12,25,12,6
2015,NATURAL,1,12,31,19,9,6,10,16,7,9,15,20,15,10
2015,NATURAL,200,24,0,0,0,1,0,0,1,4,3,2,2,0
2015,SWEET,750,12,9,7,2,5,9,2,8,5,8,3,3,8
2015,SALTED,750,12,10,4,0,0,7,0,1,10,18,10,17,13
2015,SALTED,750,12,1,1,1,2,1,0,0,2,0,0,1,0
2016,NATURAL,700,12,9,4,3,2,1,8,7,3,17,14,5,7
2016,NATURAL,1,12,6,5,12,8,17,14,4,0,10,9,7,11
2015,NATURAL,700,12,0,1,0,0,0,0,0,0,0,0,1,11
2015,NATURAL,1,12,0,1,0,0,0,0,0,0,0,0,2,6
2015,NATURAL,700,12,0,0,0,0,1,0,0,0,0,0,0,0
2015,NATURAL,1,12,0,3,1,0,3,1,4,2,2,1,1,2
2015,NATURAL,700,12,61,89,68,62,94,105,93,104,49,83,96,96
2015,NATURAL,1,12,80,91,95,79,87,67,91,67,56,65,86,78
2015,NATURAL,200,24,25,4,0,1,2,1,1,17,2,7,0,2
2015,SWEET,750,12,5,4,4,6,8,29,14,11,14,5,12,42
2015,SALTED,750,12,9,9,6,7,15,11,13,25,12,26,12,41
2015,NATURAL,700,12,30,32,29,31,46,51,52,50,45,82,45,62
2015,NATURAL,1,12,9,26,32,23,27,33,29,46,35,58,54,45
2015,NATURAL,200,24,0,2,7,9,9,4,7,2,9,9,3,17
2015,SWEET,750,12,11,8,9,4,5,13,5,14,7,13,8,14
2015,SALTED,750,12,4,0,0,0,5,8,2,16,12,19,11,15
2015,NATURAL,700,12,0,0,0,1,0,2,1,2,5,1,2,3
2015,NATURAL,1,12,0,0,0,1,4,3,3,2,1,0,0,1
2016,NATURAL,200,24,1,0,2,2,3,2,0,2,0,0,2,0
2016,SWEET,750,12,0,0,1,1,1,0,3,2,0,0,0,1
2016,SALTED,750,12,1,1,0,2,1,0,1,0,0,1,1,1
2016,SPICY,750,12,0,0,0,0,0,0,0,0,0,0,0,1
2017,NATURAL,700,12,3,2,3,5,1,13,2,6,6,3,7,8
2017,NATURAL,1,12,8,23,10,13,10,10,13,10,13,4,14,16
2017,NATURAL,200,24,1,2,2,1,2,11,1,0,1,1,0,0
2017,SWEET,750,12,1,0,0,2,2,0,2,0,1,0,0,2
2017,SALTED,750,12,0,1,1,0,1,2,2,1,1,0,3,1
2015,NATURAL,700,12,3,2,2,3,2,7,13,8,3,6,5,4
2015,NATURAL,1,12,3,0,1,3,6,1,3,0,2,3,3,4
2017,SPICY,750,12,0,1,0,3,0,2,2,3,0,1,0,0
2017,SOUR,750,12,0,0,0,0,0,0,0,0,0,0,0,1
2018,NATURAL,700,12,3,5,2,9,14,5,6,5,6,6,6,2
2018,NATURAL,1,12,13,6,12,7,11,9,10,17,10,22,5,14
2018,NATURAL,200,24,2,0,1,3,0,1,3,1,4,1,1,1
2015,NATURAL,700,12,4,9,12,9,9,17,5,10,7,8,6,17
2015,NATURAL,1,12,14,10,23,12,19,18,8,17,15,16,19,8
2015,SWEET,750,12,0,0,0,2,1,2,0,0,1,0,1,1
2015,SALTED,750,12,0,9,2,1,4,2,1,2,2,3,3,9
2015,NATURAL,700,12,2,1,2,3,6,4,5,2,8,6,5,4
2015,NATURAL,1,12,5,5,2,4,5,2,3,2,2,5,3,3
2015,SWEET,750,12,1,0,1,2,1,0,0,1,0,0,0,1
2015,NATURAL,700,12,7,7,13,3,10,14,8,10,6,14,11,25
2015,NATURAL,1,12,9,9,14,11,16,13,8,3,13,15,10,10
2015,NATURAL,200,24,3,0,3,7,14,2,6,4,6,8,5,13
2015,SWEET,750,12,2,2,2,8,8,4,3,0,2,4,1,13
2015,SALTED,750,12,0,0,0,2,6,4,5,2,20,19,7,14
2018,SWEET,750,12,0,1,1,1,0,2,2,3,1,0,0,9
2018,SALTED,750,12,2,1,1,1,3,7,1,2,4,0,0,3
2018,SPICY,750,12,1,1,1,0,3,2,0,0,0,0,0,2
2018,SOUR,750,12,6,0,1,1,0,2,0,0,1,7,4,1
2015,NATURAL,700,12,56,66,84,95,86,44,86,79,49,91,77,100
2015,NATURAL,1,12,70,28,38,53,40,58,59,52,51,60,69,58
2015,NATURAL,200,24,0,0,23,9,18,2,2,55,26,63,20,3
2015,SWEET,750,12,13,7,4,5,4,13,4,3,12,5,6,27
2015,SALTED,750,12,1,0,0,2,8,10,5,35,12,18,24,3
2015,NATURAL,700,12,10,6,9,13,9,9,13,5,3,5,6,4
2015,NATURAL,1,12,13,7,11,17,24,15,18,13,14,5,11,4
2015,NATURAL,200,24,1,0,3,5,10,5,7,12,9,9,2,3
2015,SWEET,750,12,4,1,0,0,0,2,2,0,0,0,0,0
2015,NATURAL,700,12,5,6,6,6,7,11,8,6,2,8,2,10
2015,NATURAL,1,12,1,1,0,7,4,4,4,4,7,10,4,6
2015,SWEET,750,12,0,1,0,1,0,0,0,0,0,0,0,0
2015,NATURAL,700,12,0,0,2,4,0,0,1,2,1,0,0,1
2015,NATURAL,1,12,0,0,0,0,0,0,0,0,0,1,0,2
2015,NATURAL,200,24,0,0,0,1,0,0,0,0,0,0,1,0
2015,NATURAL,700,12,2,4,1,4,1,0,0,0,0,0,0,0
2015,NATURAL,1,12,3,3,0,2,1,0,0,0,0,0,0,0
2015,NATURAL,200,24,3,0,1,0,3,0,0,0,0,0,0,0
